Song,Performer,Peak Position,grouped_genre,release_year,release_month,spotify_track_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,time_signature,spotify_track_duration_ms,prior_song_count,prior_top10_count,prior_best_peak,prior_avg_peak
Misty,"""Groove"" Holmes",44,rnb_soul,1966,6,28.0,0.553,0.4869999999999999,-9.938,0.0324,0.783,0.876,0.2919999999999999,0.524,93.665,8.0,4.0,360986.0,0,0,101.0,101.0
May The Bird Of Paradise Fly Up Your Nose,"""Little"" Jimmy Dickens",15,country,1965,10,41.0,0.66,0.801,-8.445999999999998,0.115,0.7379999999999999,1e-05,0.627,0.8669999999999999,104.374,4.0,4.0,151693.0,0,0,101.0,101.0
Ricky,"""Weird Al"" Yankovic",63,pop,1983,4,27.0,0.521,0.814,-8.27,0.108,0.066,0.0,0.0868,0.972,153.747,4.0,4.0,157066.0,0,0,101.0,101.0
Eat It,"""Weird Al"" Yankovic",12,pop,1984,3,46.0,0.767,0.811,-8.548,0.0766,0.0865999999999999,0.0,0.0684,0.8579999999999999,147.423,7.0,4.0,200626.0,1,0,63.0,63.0
King Of Suede,"""Weird Al"" Yankovic",62,pop,1984,5,23.0,0.78,0.808,-10.056,0.0382,0.271,0.0,0.0958,0.569,128.505,11.0,4.0,255373.0,2,0,12.0,37.5
I Lost On Jeopardy,"""Weird Al"" Yankovic",81,pop,1984,6,32.0,0.887,0.769,-9.15,0.0497,0.3469999999999999,9e-06,0.0507,0.8359999999999999,113.262,0.0,4.0,208933.0,3,0,12.0,45.666666666666664
Like A Surgeon,"""Weird Al"" Yankovic",47,pop,1985,6,39.0,0.8379999999999999,0.671,-8.327999999999998,0.0346,0.252,0.0,0.056,0.961,126.012,3.0,4.0,210626.0,4,0,12.0,54.5
Fat,"""Weird Al"" Yankovic",99,pop,1988,5,48.0,0.87,0.551,-10.563,0.06,0.166,3.7e-05,0.0642,0.4089999999999999,116.916,6.0,4.0,216066.0,5,0,12.0,53.0
Smells Like Nirvana,"""Weird Al"" Yankovic",35,pop,1992,4,39.0,0.5909999999999999,0.786,-7.663999999999999,0.0748999999999999,0.162,0.00178,0.28,0.7289999999999999,120.762,6.0,4.0,224533.0,6,0,12.0,60.666666666666664
Amish Paradise,"""Weird Al"" Yankovic",53,pop,1996,3,55.0,0.7279999999999999,0.448,-10.54,0.1719999999999999,0.1029999999999999,0.0,0.267,0.4829999999999999,80.902,8.0,4.0,202920.0,7,0,12.0,57.0
White & Nerdy,"""Weird Al"" Yankovic",9,pop,2006,10,56.0,0.791,0.6129999999999999,-11.628,0.0763,0.0986,0.0,0.0765,0.896,143.017,1.0,4.0,170640.0,8,0,12.0,56.5
Canadian Idiot,"""Weird Al"" Yankovic",82,pop,2006,10,45.0,0.543,0.697,-9.211,0.0612,0.00206,2e-06,0.343,0.8609999999999999,185.978,8.0,4.0,143040.0,9,1,9.0,51.22222222222222
Word Crimes,"""Weird Al"" Yankovic",39,pop,2014,8,50.0,0.897,0.43,-12.759,0.0551,0.0118,0.0,0.0473,0.964,121.987,7.0,4.0,223120.0,10,1,9.0,54.3
Voices Carry,'Til Tuesday,8,rock,1985,4,55.0,0.5829999999999999,0.574,-9.044,0.0239,0.0282,2e-06,0.114,0.5779999999999998,104.995,0.0,4.0,263573.0,0,0,101.0,101.0
Looking Over My Shoulder,'Til Tuesday,61,rock,1985,8,21.0,0.571,0.7279999999999999,-9.332,0.0698,0.0195,3e-06,0.8579999999999999,0.662,119.82,0.0,4.0,257079.0,1,1,8.0,8.0
What About Love,'Til Tuesday,26,rock,1986,9,33.0,0.5789999999999998,0.539,-13.573,0.0273,0.0606,0.185,0.0993,0.796,104.114,7.0,4.0,236266.0,2,1,8.0,34.5
Coming Up Close,'Til Tuesday,59,rock,1987,1,37.0,0.3679999999999999,0.4729999999999999,-14.943,0.0316,0.1809999999999999,0.000251,0.0665,0.273,80.186,8.0,4.0,280000.0,3,1,8.0,31.666666666666668
(Believed You Were) Lucky,'Til Tuesday,95,rock,1989,1,17.0,0.6119999999999999,0.523,-11.425,0.0321,0.448,2e-06,0.0727,0.495,124.315,5.0,4.0,216973.0,4,1,8.0,38.5
When Your Heart Stops Beating,(+44),89,rock,2006,12,54.0,0.42,0.968,-2.353,0.123,0.000232,0.0,0.0796,0.392,171.004,9.0,4.0,192786.0,0,0,101.0,101.0
Deacon Blues,0,53,rock,1978,4,57.0,0.751,0.572,-12.324,0.0388,0.4809999999999999,0.000532,0.105,0.5799999999999998,115.839,0.0,4.0,456640.0,0,0,101.0,101.0
Wasteland,10 Years,94,metal,2006,4,64.0,0.391,0.801,-5.102,0.0812999999999999,0.000426,0.000208,0.0662,0.341,146.729,6.0,4.0,229866.0,0,0,101.0,101.0
Trouble Me,"10,000 Maniacs",44,metal,1989,6,0.0,0.678,0.47,-8.362999999999998,0.894,0.72,0.000829,0.1189999999999999,0.667,81.64799999999998,1.0,4.0,90950.0,0,0,101.0,101.0
These Are Days,"10,000 Maniacs",66,metal,1992,11,0.0,0.649,0.879,-4.385,0.078,0.0821999999999999,0.0,0.0976,0.872,97.593,6.0,4.0,201466.0,1,0,44.0,44.0
Rubber Bullets,10cc,73,rock,1973,9,46.0,0.548,0.877,-4.458,0.124,0.0437,1.3e-05,0.0921,0.466,148.799,7.0,4.0,318853.0,0,0,101.0,101.0
I'm Not In Love,10cc,2,rock,1975,5,71.0,0.401,0.527,-15.632,0.0615,0.748,0.00305,0.3589999999999999,0.2079999999999999,133.749,4.0,4.0,366640.0,1,0,73.0,73.0
Art For Art's Sake,10cc,83,rock,1975,11,38.0,0.633,0.4089999999999999,-10.582,0.0509,0.105,0.0262,0.0925,0.45,124.79,0.0,4.0,359506.0,2,1,2.0,37.5
